 VPFAB1M VV   7  0.4025    1.7565    0.0227    0.0774    0.0000    0.0000    0.3333    1     SS304  ;PFAB1 support block middle
 VPFAB1U VV   7  0.4166    1.8230    0.0508    0.0524    0.0000    0.0000    0.3333    1     SS304  ;PFAB1 support block upper
 VCBTFUL VV   8  0.4243    1.9407    0.0445    0.0508    0.0000    0.0000    0.1250    1     SS304  ;Ceramic insulator top flange left
 VCBTFUR VV   8  0.5203    1.9534    0.1461    0.0254    0.0000    0.0000    0.1250    1     SS304  ;Ceramic insulator top flange right
 VPFAB2B VV   8  0.6314    1.8792    0.0635    0.0127    0.0000    0.0000    0.1250    1     SS304  ;PFAB2 bottom support ring
 VBFUT   VV   8  0.6282    1.8438    0.0683    0.0238    0.0000    0.0000    0.1250    1     SS304  ;Bellows vessel flange top
 VBFUM   VV   8  0.5838    1.8050    0.0191    0.1032    0.0000    0.0000    0.1250    1     SS304  ;Bellows vessel flange middle
 VBFUB   VV   8  0.5608    1.7407    0.0651    0.0222    0.0000    0.0000    0.1250    1     SS304  ;Bellows vessel flange bottom
 VDF1U   VV   8  0.6314    1.8184    0.0619    0.0238    0.0000    0.0000    0.1250    1     SS304  ;Upper dome flange lip
 VDF2U   VV   8  0.6124    1.7613    0.0238    0.0873    0.0000    0.0000    0.1250    1     SS304  ;Upper dome flange cylinder
 VDS1U   VV   9  0.7645    1.6876    0.2780    0.0167  -17.7000    0.0000    0.2000    1     SS304  ;Upper dome segment 1
 VDS2U   VV   9  1.0296    1.5879    0.2522    0.0173  -23.5400    0.0000    0.2000    1     SS304  ;Upper dome segment 2
 DRIU    VV   9  0.6921    1.6811    0.0381    0.0397  -21.0000    0.0000    0.2000    1     SS304  ;Upper outer divertor - inner ring
 DRMU    VV   9  0.9081    1.6032    0.0381    0.0540  -21.0000    0.0000    0.2000    1     SS304  ;Upper outer divertor - middle ring
 DROU    VV   9  1.1366    1.5084    0.0381    0.0445  -21.0000    0.0000    0.2000    1     SS304  ;Upper outer divertor - outer ring
